teamshortform	hasachievedobjective	yettowin	unbeatenallcomps	unbeatenleague	champion	leagueid	prevleagueid	previousyeartableposition	highestpossible	teamform	highestprobable	artificialkey	nummatchesplayed	teamid	gapresult	grouping	currenttableposition	objective	actualvsexpectations	unbeatenhome	lastgameresult	unbeatenaway	teamlongform
83	0	0	1	1	0	350	350	6	0	1222	9	562	4	112390	1	9	2	8	0	1	0	1	83
33	0	0	0	0	0	350	350	10	0	1020	3	563	4	112392	1	3	9	3	1	1	2	0	33
33	0	0	0	0	0	350	350	12	0	200	5	564	3	112393	1	5	11	5	1	0	2	0	33
50	0	0	1	1	0	350	350	11	0	1121	3	565	4	112394	1	3	5	3	1	1	1	1	50
33	0	0	0	0	0	350	350	9	0	102	3	566	4	112395	1	3	10	3	1	0	0	0	33
25	0	0	0	0	0	350	350	13	0	200	5	567	4	112407	1	5	12	5	1	0	2	0	25
8	0	1	0	0	0	350	350	14	0	1000	5	568	4	112408	2	5	14	5	2	0	2	0	8
0	0	0	0	0	0	351	351	9	0	0	0	569	0	111393	0	0	2	14	0	0	0	0	0
0	0	0	0	0	1	351	351	1	0	0	0	570	0	111395	0	0	2	16	0	0	0	0	0
0	0	0	0	0	0	351	351	3	0	0	0	571	0	111396	0	0	2	16	0	0	0	0	0
0	0	0	0	0	0	351	351	8	0	0	0	572	0	111397	0	0	2	16	0	0	0	0	0
0	0	0	0	0	0	351	351	7	0	0	0	573	0	111398	0	0	2	14	0	0	0	0	0
0	0	0	0	0	0	351	351	2	0	0	0	574	0	111399	0	0	2	15	0	0	0	0	0
0	0	0	0	0	0	351	351	5	0	0	0	575	0	111400	0	0	2	14	0	0	0	0	0
0	0	0	0	0	0	351	351	4	0	0	0	576	0	111766	0	0	2	11	0	0	0	0	0
0	0	0	0	0	0	351	351	6	0	0	0	577	0	112224	0	0	2	13	0	0	0	0	0
0	0	0	0	0	0	351	351	10	0	0	0	578	0	112427	0	0	2	11	0	0	0	0	0
0	0	0	0	0	0	382	382	2	0	0	0	579	0	111592	0	0	2	0	0	0	0	0	0
0	0	0	0	0	0	2028	2028	2	0	0	0	580	0	112264	0	0	2	0	0	0	0	0	0
